k,mean_hit_rate_correct,std_hit_rate_correct,mean_hit_rate_relevant,std_hit_rate_relevant
1,0.03333333333333333,0.0,0.2333333333333333,0.0
2,0.06666666666666667,0.0,0.43333333333333335,0.0
3,0.06666666666666667,0.0,0.5333333333333333,0.0
4,0.06666666666666667,0.0,0.5666666666666667,0.0
5,0.10000000000000002,0.0,0.6999999999999998,0.0
8,0.13333333333333333,0.0,0.8666666666666667,0.0
10,0.13333333333333333,0.0,0.9,0.0
