k,mean_hit_rate_correct,std_hit_rate_correct,mean_hit_rate_relevant,std_hit_rate_relevant
1,0.044444444444444446,0.019245008972987525,0.3444444444444444,0.05091750772173158
2,0.05555555555555556,0.03849001794597506,0.4777777777777778,0.038490017945975036
3,0.07777777777777778,0.05091750772173156,0.5777777777777778,0.050917507721731536
4,0.07777777777777778,0.05091750772173156,0.6555555555555556,0.0769800358919501
5,0.1111111111111111,0.05091750772173154,0.7222222222222223,0.07698003589195013
8,0.19999999999999998,0.03333333333333334,0.8333333333333334,0.033333333333333326
10,0.2333333333333333,0.033333333333333326,0.9,0.06666666666666665
