,0
ITGAM,0.0017283437
ANKRD10,0.0017130384
PLEK,0.0017099022
SNHG9,0.0017052456
TAPBP,0.001701536
RAB11FIP1,0.0017014511
SYF2,0.0017009678
CRYBA2,0.0016988888
SCPEP1,0.0016917721
GYPB,0.0016681188
FAXDC2,0.0016315148
AIG1,0.001627651
CH17-340M24.3,0.0016260719
PCNA,0.0016214602
MT-CO1,0.0016157284
YPEL1,0.0016156153
MPZL1,0.0016104567
ATP1B1,0.001609117
IGBP1,0.0016056636
SKAP2,0.0016043573
RIT1,0.0015992388
TLE2,0.0015910192
TMEM120B,0.0015823491
PRKAR2B,0.0015677589
IDS,0.0015577064
RHOC,0.0015555978
FAM45A,0.0015550464
CLN5,0.0015520588
RRP12,0.0015316657
SRGN,0.0015289326
TFAP2A,0.0015205038
CHI3L2,0.0015202252
DBI,0.0015202183
NUDC,0.0015194631
SMYD3,0.0015183786
AC007246.3,0.0015180801
SDCCAG8,0.0015038203
APOBR,0.0014862044
LGALSL,0.0014676695
RABAC1,0.001461959
PGA5,0.0014617519
SOCS3,0.0014591138
FBLN2,0.001458188
CPQ,0.0014489741
TF,0.0014451299
PPP1R12A,0.0014407841
ANKRD11,0.0014361647
RNF168,0.0014354772
HELLS,0.0014337763
ITPR2,0.00142461
ATP6V0B,0.0014232213
ITM2B,0.001414732
DSC2,0.0014098072
SLC16A3,0.001408139
FAM19A2,0.0014040124
MT-CO3,0.001398525
HERC2,0.0013971847
ABAT,0.001395389
RGCC,0.0013828486
AC079466.1,0.0013812263
RCSD1,0.0013744155
ARRDC3,0.0013682947
ABHD4,0.0013597617
ACAT2,0.001355525
LACTB,0.0013439576
FRRS1,0.0013424761
EGR1,0.0013377011
CHST3,0.0013254195
PA2G4,0.0013194032
RAB4B,0.001316215
CITED2,0.0013091688
CARF,0.0013041849
PMAIP1,0.0012949003
LCP2,0.001291736
ZFP36,0.0012905763
MRC2,0.0012883019
LPCAT2,0.0012877716
SH3BGRL3,0.001286648
AC142472.6,0.0012697726
PKM,0.0012678783
LGI2,0.0012647395
ATF3,0.0012642075
KIAA0101,0.00124965
RP11-467L13.7,0.0012456763
YPEL2,0.001242146
NOX5,0.0012389391
SLC40A1,0.0012342221
FGD4,0.001231878
CITED4,0.0012311267
SLC2A1-AS1,0.0012252618
SCN9A,0.0012214395
ZBTB38,0.001202299
CD63,0.0011930497
MMP24-AS1,0.0011886364
PDE9A,0.001188306
BBC3,0.0011855168
TPP1,0.0011810288
CTSS,0.001176885
LBH,0.0011689955
VGF,0.0011688492
FTL,0.0011594377
ABL2,0.0011567426
INPP5J,0.0011560931
AREG,0.001154861
TAX1BP1,0.0011540914
GIGYF1,0.0011375129
SAMD11,0.0011367823
SERPING1,0.0011312687
MARCH2,0.0011261416
SGOL2,0.0011158518
AURKA,0.0011121868
UNC5B,0.0011117264
AC016629.3,0.0011100546
CLIC1,0.0011060587
PRDM1,0.0011057013
SAMSN1,0.0011012963
SAT2,0.0010935873
TMSB10,0.0010910521
RASSF2,0.0010900339
P2RX4,0.0010859343
ZNF425,0.0010842988
SLC6A19,0.0010789703
CCS,0.0010680304
PROS1,0.0010662638
LINC00694,0.0010560268
HIST1H2BH,0.0010548582
NHLRC4,0.0010531035
CFD,0.0010510725
TSPAN32,0.0010420233
TNNI3,0.0010410817
CD3D,0.0010408398
TLCD2,0.001039475
ITGB2-AS1,0.0010376185
MTURN,0.0010317311
SH2D2A,0.0010162276
JUN,0.0010134222
CNTRL,0.0010033657
DNAJC3,0.0010016119
PNRC1,0.000996923
RPL7A,0.0009964532
RP11-138A9.2,0.0009949853
PYCARD,0.0009832763
ZBED5-AS1,0.0009818776
HSPA5,0.000981769
CLEC2B,0.0009815756
GBP2,0.0009783448
ARHGAP9,0.0009774081
RGS18,0.00097569433
PRKCB,0.0009745448
SEC24D,0.00097230816
CMPK2,0.0009701521
ARID5B,0.000966093
SHC2,0.0009638945
DCHS2,0.00096317613
CADM2,0.00095827266
TMEM255B,0.00095587707
PRRT2,0.0009529676
NENF,0.0009517564
ARHGAP25,0.0009500394
HEMK1,0.0009494452
ZNF431,0.00094926124
LIMS1,0.00094907556
MGST3,0.00094896584
MANBA,0.0009421894
SLC31A2,0.0009318439
S100A10,0.0009282829
WDR76,0.00092712085
HES1,0.0009249485
MYBPHL,0.0009237767
TCF4,0.00092027866
HBG2,0.00091863686
PLA2G15,0.00091480085
ISG15,0.0009134426
RP11-96H19.1,0.0009089629
TNFRSF14,0.00090606115
DST,0.0009024621
CCDC80,0.0008949143
NFKBIA,0.0008934924
NKG7,0.0008906992
ATP1B2,0.0008901414
HLA-E,0.00088430423
ABCA1,0.00088108925
GALK1,0.0008803022
CD84,0.0008790687
RP11-693J15.6,0.0008768132
ZFHX3,0.000875213
KIAA0930,0.00087366457
LYL1,0.0008734314
SLF2,0.0008714358
DENND3,0.00086856127
H6PD,0.00086598337
ARPC5,0.00086579076
GAPDH,0.0008635842
PKIG,0.00085388694
FOLR1,0.0008432095
P2RX6,0.000836975
CDKN2D,0.00083267014
ICOSLG,0.00082802755
CRELD1,0.0008263283
HLX,0.0008253663
ADGRE2,0.0008243935
ATF6B,0.0008239073
FADS1,0.0008228481
NR4A1,0.00082189153
DACT3,0.00082155043
AZU1,0.0008181083
CELA1,0.00081308227
IRF2BP2,0.00081154506
TMSB4X,0.00081028877
LINC00449,0.0008099065
TNFRSF12A,0.0008072938
GADD45G,0.0008057866
ZBED6,0.0008022438
GPX7,0.00080134906
SMC4,0.0007963639
DOK2,0.00079455506
RASA4,0.0007879415
VAMP2,0.0007878875
ANKRD28,0.0007872895
GIPR,0.0007858188
GYPC,0.0007841915
MORN3,0.0007804305
RNF130,0.0007783758
RP11-670E13.6,0.0007765752
NPHP1,0.0007762413
PVALB,0.00076954183
SMIM3,0.0007691658
HLA-A,0.00076543726
INHA,0.0007648513
MAP7D1,0.0007639665
MARC2,0.000759893
CCNG2,0.0007549276
CCRL2,0.00075198704
MICAL1,0.0007494836
IFITM2,0.0007489008
CLU,0.0007479818
MT1E,0.00072079216
HSP90AA1,0.0007196205
FAM129A,0.0007191819
SLC4A1,0.00071882637
COL1A1,0.0007187476
CEBPA,0.0007185038
SOX4,0.0007174904
DMTN,0.000709013
METTL7A,0.0007070834
RP11-422P24.12,0.0007022251
DLX2,0.00070193986
RPL34,0.00069237524
MUC20,0.0006883244
TNFRSF19,0.00068811636
TP53INP1,0.0006873436
THBS3,0.00068672316
ZYX,0.00068621873
TFF3,0.0006858268
HNMT,0.0006841998
GABPB1-AS1,0.0006835615
MT-ND2,0.0006827108
TFAP2B,0.00068261137
PLEKHB1,0.0006805554
FAM214B,0.00067885796
NCF1,0.0006781198
ACAP1,0.0006780922
C1orf56,0.0006769586
ATG2A,0.0006735268
PCAT14,0.0006671945
LINC-PINT,0.0006629082
PHLDA1,0.0006624704
GNG8,0.0006609562
PLEKHA2,0.0006607797
POLR2J3,0.00065802806
RP11-433M22.2,0.0006579193
AC093673.5,0.00065274414
LIMA1,0.00064285926
PCDH9,0.0006413831
MT-ATP6,0.00064088986
OPTN,0.00064067246
ARL11,0.000640355
HSPB1,0.00063928514
STX16-NPEPL1,0.0006391595
MIR3945HG,0.00063778315
FABP5,0.0006350388
FAM153B,0.00063012313
PIK3IP1,0.0006285968
ALDH1L1,0.00062601577
VIM,0.00062596716
C1RL,0.0006236023
PYY,0.00061529584
RPL10,0.00061330316
BCL2L1,0.0006130775
F2RL2,0.0006126586
RNASE1,0.00061213877
PNPLA8,0.00060631795
JAML,0.00060552586
ACSL1,0.00060202985
STAP1,0.000599242
ZBTB16,0.0005954657
PDE6A,0.0005927289
CDK1,0.0005916849
ACVRL1,0.00058534916
RP11-1C1.6,0.00058462814
C1orf141,0.0005828016
RP5-1021I20.1,0.0005825994
ADAP2,0.00058076077
SDSL,0.0005741563
KCNJ6,0.0005739745
PURG,0.0005737217
BCL3,0.00057292765
DPEP2,0.00057105056
SPC24,0.0005682524
FCGR2A,0.0005611663
RP11-539L10.2,0.00055782276
DDIT4,0.00055713824
LRRC16A,0.00055327173
FAM46C,0.00055278954
BIRC3,0.00055176334
DUSP15,0.00054837146
LSP1,0.0005471014
AC074289.1,0.0005462504
SP6,0.00054546294
TRIB1,0.00054452685
FAM65B,0.0005443219
LINC00685,0.00054181175
SMPD1,0.00054049655
PBX1,0.0005403269
SYTL3,0.0005392556
FNBP1,0.00053743494
SUMF2,0.0005334526
EXOSC8,0.0005321093
