,0
WBP5,0.008241736
GAD1,0.008146206
ILF3-AS1,0.006725731
KCNH2,0.0066925427
SRM,0.0065414086
PA2G4,0.00653401
SNHG9,0.0065211356
LAPTM4B,0.0063025216
ATF4,0.00602504
CDC45,0.005883987
FABP5,0.005838372
GOLIM4,0.0055068852
NUDC,0.005472501
TSC22D1,0.0054350095
PSMB2,0.005417441
JUND,0.005359662
CACYBP,0.0053206286
POLR3GL,0.0052959993
CKS1B,0.005151748
ENO1,0.0050847847
PLAUR,0.0047877226
DNAJA1,0.004783889
PSMB6,0.0047070314
FEV,0.004661398
STOM,0.004575677
FRG1,0.0045668967
PYROXD2,0.0045546973
MAP1B,0.0045483327
HSP90AB1,0.0045399666
PRDX1,0.004511746
ACAT2,0.004485902
TOR3A,0.004479199
MTRNR2L8,0.004476179
MT-ND4L,0.004423199
FAM101B,0.004397823
ESAM,0.004250527
TSPAN13,0.0042317505
HIST1H4C,0.0041196174
C2orf88,0.0040786914
NME1,0.004035508
PSMA4,0.0039409813
EBNA1BP2,0.0038049247
TAPBP,0.0038024771
RELN,0.0037665477
PCNA,0.0037627935
MLLT11,0.0037387814
TLN1,0.0037238777
POLR2J3,0.003706044
ATF7IP2,0.0036866877
BTK,0.003631219
SON,0.0036277613
RNF168,0.0036171912
C1QBP,0.0036009501
FAM118A,0.003596082
SGOL1,0.003583707
CTSC,0.0035829963
RP11-693J15.6,0.0035817067
THUMPD3-AS1,0.0035805583
ARPC3,0.0035311007
PDIA4,0.0035161478
SET,0.0034591395
MLXIP,0.0034546119
ODC1,0.0034139585
C4orf48,0.0033838733
RHOC,0.0033690138
MDH2,0.003362108
SNHG19,0.003306415
CCR10,0.0032875375
MYC,0.0032690133
CENPU,0.003265892
DBI,0.0032458645
AC006262.5,0.0032415355
SRSF3,0.003221926
GABPB1-AS1,0.003205893
S100A10,0.0031991967
DEK,0.003198784
CAPZA1,0.0031293356
ZFP36L1,0.003116963
SOD2,0.0030695116
GAL,0.0030420288
MEF2C,0.003040974
SERPINF1,0.0030314769
CLSPN,0.0030237024
DDX21,0.00300512
ORC6,0.002983882
GMPPA,0.0029611622
TMSB10,0.002954078
HIST3H2A,0.002942735
LDHA,0.002937058
SOX4,0.0029271813
IGBP1,0.0029160094
NPC2,0.0029114182
FASN,0.0029071213
FAM89A,0.002902416
CAP1,0.0028980593
HERC2,0.0028892402
HNRNPH1,0.0028768547
CTSZ,0.002849437
HERPUD1,0.0028453884
NR2F2,0.002815712
HES1,0.0028093152
LMNA,0.0028043592
OSR2,0.0028007813
RP1-34B20.21,0.0027934655
PTP4A3,0.0027708546
ARID5B,0.002769476
PTRF,0.0027447164
SVIP,0.0027307735
CHI3L2,0.0027271474
PKM,0.0027059198
MMP24-AS1,0.0026797808
CD99,0.0026614524
NCL,0.0026367495
CDKN2D,0.002594566
KMT2E,0.002591974
PHGDH,0.002574069
TUBA1C,0.0025684661
SLC46A3,0.0025626845
DUSP9,0.002540688
MSN,0.0025389835
KRT18,0.002534243
TF,0.0025100554
UFD1L,0.0024620774
RP11-294J22.6,0.0024391985
RQCD1,0.0023964401
PSMB3,0.0023945572
SEPT6,0.002368987
ATP6V0B,0.0023634278
PPIC,0.0023482908
REEP6,0.002326605
MSH6,0.0023258862
HELLS,0.0023164977
RABGAP1L,0.002313025
HSPB1,0.002310444
TNFAIP8,0.0023045922
RGCC,0.0023022457
PIM2,0.0022991821
ADAM17,0.002294466
HN1,0.0022923455
ATF6B,0.0022846842
PPP1R3B,0.002270359
TFAP2A,0.002268851
TMEM55A,0.002256783
RP11-93H24.3,0.0022564654
SLC25A37,0.0022344796
CRELD1,0.00219208
ARL6IP5,0.002177566
YBX1,0.002152293
SELM,0.0021441202
ANXA3,0.0021350996
RAB4B,0.002112247
HOXB9,0.0021055616
MYH7B,0.0021045294
ZFHX3,0.0021035383
BRI3,0.0020934597
HEPH,0.002092843
CDC42SE1,0.0020791492
LDHB,0.0020687925
RAN,0.002068612
CCNB1,0.0020584643
TMEM158,0.002046364
OAZ2,0.002035941
XIST,0.0020051699
RRP12,0.0019872207
COTL1,0.001986287
HIST1H1E,0.0019722183
IER2,0.0019577933
ACP5,0.0019522259
ZBED6,0.0019253616
COL18A1,0.0019228848
USP53,0.0018883197
PPP3CA,0.0018772816
ARPC5,0.0018734629
GDF15,0.0018718801
CLIC1,0.0018715865
GYPA,0.0018643377
PNISR,0.0018560603
BPGM,0.0018554552
AC016629.3,0.0018279856
RUNX1,0.0018015851
CCL3L3,0.0017938951
RMI2,0.0017850939
CSAD,0.0017780757
JUNB,0.0017779866
MT1E,0.0017627596
CALCOCO1,0.0017600999
RNF130,0.0017353679
SQLE,0.0017353245
RAC2,0.0017287969
SDSL,0.001711743
ZNF436-AS1,0.0017062823
ISG15,0.0017057956
LINC00324,0.0016975139
SDCCAG8,0.0016900173
CRYAB,0.0016892614
PHACTR1,0.0016880175
