,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,factor,mapped_gene
1,prerank,Myc Targets V1,0.8089871922841313,1.5892463544853004,0.0,0.030230326295585416,0.05,23/31,6.26%,PRDX4;SSBP1;NME1;SET;SRSF3;RAN;CCNA2;PSMB3;RANBP1;CDC20;PHB;HSP90AB1;SRM;LDHA;DEK;NPM1;SRSF7;RPS6;KPNA2;PSMA4;PSMB2;RPL34;PCNA,83,SAMD1
2,prerank,G2-M Checkpoint,0.7358339220851207,1.512206973921412,0.023255813953488372,0.09069097888675624,0.21,24/42,4.20%,HSPA8;AURKA;BIRC5;TPX2;CKS2;PTTG1;CCNA2;AURKB;CDC20;KIF2C;NUSAP1;CENPE;MKI67;SMC4;PLK1;CKS1B;GINS2;STMN1;HMMR;CENPF;HMGN2;KPNA2;TOP2A;NCL,83,SAMD1
3,prerank,Interferon Alpha Response,-0.709515174742505,-1.475560974285701,0.0,0.29829545454545453,0.25,21/45,10.96%,B2M;GMPR;PSME1;BST2;ISG15;NCOA7;TRIM5;LY6E;CCRL2;IFITM2;GBP2;CD47;IFIT3;PROCR;IFITM3;IFI30;ISG20;LGALS3BP;IFI27;PSMB9;HLA-C,83,SAMD1
4,prerank,Androgen Response,-0.7889001464884635,-1.4359893829099823,0.018518518518518517,0.29332386363636365,0.44,11/29,7.18%,B2M;IQGAP2;MYL12A;CCND3;PA2G4;FADS1;NCOA4;KRT8;HSD17B14;DBI;PLPP1,83,SAMD1
5,prerank,Pancreas Beta Cells,-0.9244482395752716,-1.4153621803605099,0.03389830508474576,0.27178030303030304,0.56,1/8,0.40%,LMO2,83,SAMD1
6,prerank,Mitotic Spindle,0.6933737796338719,1.406344915610109,0.05,0.24184261036468332,0.52,13/34,5.90%,AURKA;BIRC5;TPX2;KIF2C;NUSAP1;CDC42;CENPE;SMC4;PLK1;CENPF;TOP2A;FLNA;DST,83,SAMD1
7,prerank,mTORC1 Signaling,0.6785329259512515,1.3955896701082087,0.02857142857142857,0.20758157389635318,0.53,24/49,6.74%,AURKA;TFRC;DHFR;HSP90B1;CALR;HSPA5;TRIB3;BHLHE40;SDF2L1;PHGDH;LDHA;PLK1;CACYBP;DDIT3;RRM2;PSMA4;SKAP2;CTSC;SQSTM1;DDIT4;SQLE;PRDX1;SLC2A1;CD9,83,SAMD1
8,prerank,Interferon Gamma Response,-0.6307350368686502,-1.3810215959828924,0.029411764705882353,0.3430397727272727,0.73,30/84,11.02%,VAMP8;B2M;PIM1;PSME1;SOD2;BST2;BTG1;MT2A;TNFSF10;NFKBIA;ISG15;LY6E;CFH;PTPN6;IFITM2;LCP2;HLA-B;HLA-A;IFIT3;IFITM3;FCGR1A;IFI30;ISG20;MVP;LGALS3BP;IFI27;SOCS1;NLRC5;PSMB9;SOCS3,83,SAMD1
9,prerank,Inflammatory Response,-0.6342088664208888,-1.3807169445947274,0.0392156862745098,0.27443181818181817,0.73,26/80,14.42%,EMP3;MYC;BST2;TIMP1;TNFSF10;ICAM4;NFKBIA;CD55;LY6E;CCRL2;LCP2;CD82;ICOSLG;RGS16;PTAFR;CSF3R;C3AR1;P2RX4;PLAUR;GPR183;CYBB;KLF6;IRF7;ABCA1;ICAM1;CD70,83,SAMD1
10,prerank,Coagulation,-0.6415479982687207,-1.2976952190781905,0.07142857142857142,0.45904356060606066,0.95,17/50,10.90%,CFD;APOC1;TIMP1;S100A1;CTSB;GSN;MSRB2;CFH;TF;PLEK;FN1;LAMP2;PLAU;C3;CLU;PRSS23;MMP9,83,SAMD1
11,prerank,IL-2/STAT5 Signaling,-0.5997119388076353,-1.2966412109598624,0.06349206349206349,0.3934659090909091,0.95,20/72,12.80%,PIM1;MYC;CTSZ;CAPG;TNFSF10;CCND3;CISH;S100A1;RHOH;LTB;CDKN1C;PLPP1;IFITM3;SCN9A;RGS16;SOCS1;P2RX4;ALCAM;KLF6;GADD45B,83,SAMD1
12,prerank,IL-6/JAK/STAT3 Signaling,-0.6501696079239658,-1.2722136601225704,0.10909090909090909,0.42879971590909094,0.98,10/39,11.02%,PIM1;TGFB1;IL6ST;LTB;TNFRSF12A;CSF2RA;SOCS1;IL2RG;CSF3R;SOCS3,83,SAMD1
13,prerank,Angiogenesis,-0.7388769811549417,-1.2471237752182973,0.2545454545454545,0.4452335858585858,0.99,2/14,2.62%,TIMP1;S100A4,83,SAMD1
14,prerank,Unfolded Protein Response,0.744580401816885,1.2312462094997356,0.2608695652173913,0.5894913627639157,0.95,9/16,5.54%,HSP90B1;CALR;HSPA5;ATF4;NPM1;DNAJC3;CKS1B;ATF3;DDIT4,83,SAMD1
15,prerank,Epithelial Mesenchymal Transition,-0.5628073538311607,-1.225233910843083,0.1509433962264151,0.46434659090909086,0.99,13/84,7.74%,VIM;TPM1;TGFB1;EMP3;CD59;CAPG;TIMP1;LGALS1;PPIB;GLIPR1;FUCA1;FN1;DAB2,83,SAMD1
16,prerank,Allograft Rejection,-0.5457105597595817,-1.2197343991339298,0.09523809523809523,0.43840392561983477,0.99,23/86,11.30%,B2M;TGFB1;CAPG;CTSS;TIMP1;CCND3;ITGB2;HLA-E;SPI1;LTB;PTPN6;CD3D;LCP2;GBP2;CD47;HLA-A;SRGN;ICOSLG;SOCS1;IL2RG;MMP9;BCL3;RPS3A,83,SAMD1
17,prerank,Estrogen Response Late,0.5545418026022466,1.2159848354650584,0.10204081632653061,0.5455854126679462,0.97,11/62,6.74%,FABP5;PRKAR2B;CDC20;BLVRB;GINS2;TOP2A;FOS;ID2;AREG;TSPAN13;CD9,83,SAMD1
18,prerank,Apical Junction,0.5360685460065959,1.2074687431135074,0.13953488372093023,0.5038387715930902,0.97,12/57,7.12%,ACTG1;KCNH2;MPZL1;ZYX;MPP5;CLDN6;SKAP2;MYL9;CNN2;NFASC;B4GALT1;LIMA1,83,SAMD1
19,prerank,Complement,-0.5719014403665315,-1.1940102336502516,0.21052631578947367,0.46898674242424243,1.0,22/66,11.92%,PIM1;APOC1;FCER1G;CD59;CTSS;TIMP1;CTSB;CD55;CFH;ITGAM;ERAP2;LCP2;PLEK;FN1;CEBPB;LAMP2;C3;CLU;PSMB9;GNAI2;PLAUR;CR1,83,SAMD1
20,prerank,Spermatogenesis,0.6510332094308797,1.1747281321411966,0.23684210526315788,0.517274472168906,0.99,4/26,4.68%,AURKA;HBZ;KIF2C;TLE4,83,SAMD1
21,prerank,Apical Surface,-0.6777150426121112,-1.1337141387944614,0.3225806451612903,0.5958260489510488,1.0,6/14,13.96%,GSTM3;MDGA1;IL2RG;PLAUR;HSPB1;GHRL,83,SAMD1
22,prerank,PI3K/AKT/mTOR  Signaling,0.6715942696355396,1.1274822052011435,0.3170731707317073,0.5894913627639157,1.0,12/21,12.50%,HSP90B1;CALR;PRKCB;TRIB3;DDIT3;SQSTM1;SLC2A1;CDKN1A;RIT1;ITPR2;DAPP1;SLA,83,SAMD1
23,prerank,KRAS Signaling Up,-0.539138295776131,-1.126088449182546,0.20689655172413793,0.5745738636363636,1.0,24/78,14.10%,FCER1G;LAPTM5;CTSS;ITGB2;GLRX;GYPC;CFH;TMEM158;PPP1R15A;FUCA1;PLAU;TRIB1;RGS16;CSF2RA;BIRC3;IL2RG;MMP9;C3AR1;PLAUR;TFPI;ADAM8;CD37;RELN;CLEC4A,83,SAMD1
24,prerank,Apoptosis,0.49778094785268584,1.1105202845128845,0.2631578947368421,0.5780404815913454,1.0,24/68,12.36%,DNAJA1;SLC20A1;HMGB2;DNAJC3;TXNIP;JUN;DDIT3;TOP2A;TAP1;ATF3;SQSTM1;GADD45A;CDKN1A;KRT18;CD69;PLCB2;BMF;BTG2;PMAIP1;ANXA1;RHOB;FEZ1;CD2;PRF1,83,SAMD1
25,prerank,Oxidative Phosphorylation,0.6358756885973116,1.0948788274729702,0.45454545454545453,0.5726967370441459,1.0,7/11,9.46%,LDHA;ATP6V0B;MDH2;ATP1B1;COX17;ALAS1;ATP6V0E1,83,SAMD1
