,synergy,suppression,neomorphism,redundancy,epistasis
mean,0.10000000000000002,0.4000000000000001,0.10000000000000002,0.10000000000000002,0.4000000000000001
std,1.6996749443881478e-17,6.798699777552591e-17,1.6996749443881478e-17,1.6996749443881478e-17,6.798699777552591e-17
