,synergy,suppression,neomorphism,redundancy,epistasis
mean,0.3333333333333333,0.3333333333333333,0.13333333333333333,0.5666666666666667,0.5333333333333333
std,0.11547005383792516,0.11547005383792516,0.05773502691896258,0.11547005383792512,0.11547005383792512
