,synergy,suppression,neomorphism,redundancy,epistasis
mean,0.2333333333333333,0.20000000000000004,0.6333333333333333,0.7999999999999999,0.5333333333333333
std,0.05773502691896256,0.09999999999999999,0.1527525231651947,0.10000000000000003,0.05773502691896257
