,synergy,suppression,neomorphism,redundancy,epistasis
mean,0.0,0.0,0.3333333333333333,0.9333333333333332,0.5666666666666668
std,0.0,0.0,0.15275252316519466,0.11547005383792512,0.15275252316519464
