,synergy,suppression,neomorphism,redundancy,epistasis
mean,0.23333333333333336,0.16666666666666666,0.3333333333333333,0.4666666666666666,0.8000000000000002
std,0.1527525231651947,0.11547005383792514,0.11547005383792516,0.05773502691896257,0.10000000000000003
