Concept,Best_Factor,Factor_R2,Background_R2,Fold_Enrichment
Cell_Cycle,74,0.09403443336486816,0.012675113402880155,7.418823830286268
Erythroid,20,0.08734720945358276,0.016707477088157948,5.228031078102952
Apoptosis,63,0.014226734638214111,0.0018502158614305349,7.689229637894467
