Concept,Best_Factor,Factor_R2,Background_R2,Fold_Enrichment
Cell_Cycle,6,0.11411541700363159,0.021020470903469965,5.428775479277866
Erythroid,15,0.13105612993240356,0.017760712939959306,7.378990380366107
Apoptosis,0,0.0001804828643798828,2.3296246161827676e-05,7.747293839795315
